# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
77 -2.63316235118753411e+02 -1.71486080523330855e+02 -2.55099939234099127e-02 -1.66135174693145711e-02 2.14962207310631293e+01 -8.58146886135362621e+01
78 -2.41341278981737020e+02 -1.84091825713683846e+02 -2.33824051302672330e-02 -1.78357787286510458e-02 2.08584621464632853e+01 -8.56823681747154495e+01
79 -2.58424079969895899e+02 -1.70624712514756169e+02 -2.50366607715238366e-02 -1.65304759795153883e-02 2.11714741990798423e+01 -8.58007865610002511e+01
80 -2.45389774837895601e+02 -1.56326361513423507e+02 -2.37761855473396788e-02 -1.51466970444836344e-02 1.97153023092506636e+01 -8.58129065541034066e+01
81 -2.71269621618199949e+02 -1.77702673812799986e+02 -2.62790541348118141e-02 -1.72148217598799037e-02 2.22617013138333135e+01 -8.58163730409997498e+01
82 -2.44142018395778308e+02 -1.83019613034552549e+02 -2.36535574751832907e-02 -1.77317487765696787e-02 2.09633042022935108e+01 -8.56970137652058241e+01
83 -2.71847492385765293e+02 -1.55979880206277443e+02 -2.63366162392571525e-02 -1.51113486829909677e-02 2.12262343051807143e+01 -8.59109308605066815e+01
84 -2.62728170462135211e+02 -1.79639904380241376e+02 -2.54524595876218715e-02 -1.74030725312773991e-02 2.18577318558262448e+01 -8.57779089774285808e+01
85 -2.39321662598737589e+02 -1.64034383303367918e+02 -2.31883318191686179e-02 -1.58936038989863325e-02 1.97628742499207064e+01 -8.57585812422066169e+01
86 -2.57425611710145802e+02 -1.80555691129655230e+02 -2.49392851041018090e-02 -1.74921594954615227e-02 2.15967937072146192e+01 -8.57551434866843891e+01
87 -2.64369963070711037e+02 -1.69492940365484770e+02 -2.56121061643473751e-02 -1.64204402509489644e-02 2.14597293665114179e+01 -8.58269111545227616e+01
88 -2.71730960899763488e+02 -1.74413316432079029e+02 -2.63239529176736570e-02 -1.68963003507980533e-02 2.21299062814592311e+01 -8.58320951999922244e+01
89 -2.39493904935875491e+02 -1.73652617182946670e+02 -2.32043511167526334e-02 -1.68250473954025016e-02 2.02488014280596715e+01 -8.57193085211229970e+01
90 -2.57768227506472158e+02 -1.69609160703637542e+02 -2.49732683788851141e-02 -1.64321845665135122e-02 2.10838638364676463e+01 -8.58027095596896885e+01
91 -2.60121746923908518e+02 -1.77571750233866567e+02 -2.52004142481876969e-02 -1.72030278805491883e-02 2.16076377897174012e+01 -8.57774408226537162e+01
92 -2.45888241012383673e+02 -1.77384764932026712e+02 -2.38229817232983171e-02 -1.71859947249548006e-02 2.07887911441048416e+01 -8.57270258104168477e+01
