# ra 5.30091384730315553e+01 dec -2.74389488088151232e+01 rotSkyPos 2.56750753181930804e+02 MJD(TAI) 5.95801395550000016e+04
# id xmm ymm xpup ypup ra_obs dec_obs
61 -2.61985509098307375e+02 -1.82590912291462018e+02 -2.53803631092353460e-02 -1.76888548925998208e-02 5.22839652161623221e+01 -2.57898436370249442e+01
62 -2.61985880137852917e+02 -1.75590912301295617e+02 -2.53809500214130235e-02 -1.70110853569225701e-02 5.23258778012488790e+01 -2.57989051542903169e+01
63 -2.61986251177398401e+02 -1.68590912311129216e+02 -2.53815154657527874e-02 -1.63332725628903379e-02 5.23678001109785924e+01 -2.58079566384601158e+01
64 -2.61986622216943886e+02 -1.61590912320962815e+02 -2.53820594340984744e-02 -1.56554182264487009e-02 5.24097319988007939e+01 -2.58169980493120583e+01
65 -2.40950958199993522e+02 -1.40305519294104840e+02 -2.33475001854497807e-02 -1.35952276853772997e-02 5.25070134313473531e+01 -2.59577805146809588e+01
66 -2.40951252148346072e+02 -1.33305519300276671e+02 -2.33479162367354436e-02 -1.29171609226631859e-02 5.25490256091717498e+01 -2.59667941058445280e+01
67 -2.40951546096698593e+02 -1.26305519306448517e+02 -2.33483124922240909e-02 -1.22390612636953267e-02 5.25910467007774045e+01 -2.59757972659133607e+01
68 -2.40951840045051142e+02 -1.19305519312620348e+02 -2.33486889462298855e-02 -1.15609304310685546e-02 5.26330765581460511e+01 -2.59847899552858550e+01
69 -2.47950958193821691e+02 -1.40305813242457390e+02 -2.40250687532562977e-02 -1.35948529265073424e-02 5.25170947261452099e+01 -2.59200581103728638e+01
70 -2.47951252142174241e+02 -1.33305813248629221e+02 -2.40254959922244667e-02 -1.29168062442722720e-02 5.25590925585842825e+01 -2.59290674226028912e+01
71 -2.47951546090526762e+02 -1.26305813254801052e+02 -2.40259028638870296e-02 -1.22387266716061250e-02 5.26010992791801328e+01 -2.59380663560076243e+01
72 -2.47951840038879311e+02 -1.19305813260972883e+02 -2.40262893623971220e-02 -1.15606159307984225e-02 5.26431147400341359e+01 -2.59470548710370998e+01
73 -2.54950958187649860e+02 -1.40306107190809911e+02 -2.47025762389493503e-02 -1.35944666939442592e-02 5.25271690483034632e+01 -2.58823397898871406e+01
74 -2.54951252136002410e+02 -1.33306107196981742e+02 -2.47030146595100739e-02 -1.29164406634590442e-02 5.25691525075238246e+01 -2.58913448180753321e+01
75 -2.54951546084354931e+02 -1.26306107203153587e+02 -2.47034321415658779e-02 -1.22383817485306884e-02 5.26111448292988158e+01 -2.59003395197013830e+01
76 -2.54951840032707480e+02 -1.19306107209325418e+02 -2.47038286791090682e-02 -1.15602916711347765e-02 5.26531458658499858e+01 -2.59093238552670861e+01
77 -2.61950958181478029e+02 -1.40306401139162460e+02 -2.53800209372576739e-02 -1.35940689939228719e-02 5.25372363795303272e+01 -2.58446256839642032e+01
78 -2.61951252129830550e+02 -1.33306401145334291e+02 -2.53804705331535617e-02 -1.29160641861448544e-02 5.25792054377797271e+01 -2.58536264230347683e+01
79 -2.61951546078183128e+02 -1.26306401151506122e+02 -2.53808986196630594e-02 -1.22380265000767083e-02 5.26211833330041330e+01 -2.58626168877992946e+01
80 -2.61951840026535649e+02 -1.19306401157677954e+02 -2.53813051906177818e-02 -1.15599576573714759e-02 5.26631699175458010e+01 -2.58715970388114265e+01
81 -2.41005066986826819e+02 -9.80542408134643324e+01 -2.33547768699710716e-02 -9.50201978731858750e-03 5.27608018107037822e+01 -2.60117440562997757e+01
82 -2.41007048022767862e+02 -9.10542410937860041e+01 -2.33552367391176192e-02 -8.82378077443264457e-03 5.28028678347606686e+01 -2.60206849584736801e+01
83 -2.41009029058708904e+02 -8.40542413741076757e+01 -2.33556767819005119e-02 -8.14551928344267075e-03 5.28449418694726987e+01 -2.60296151911172231e+01
84 -2.41011010094649919e+02 -7.70542416544293616e+01 -2.33560969940401798e-02 -7.46723704106418140e-03 5.28870237658310458e+01 -2.60385347155035731e+01
85 -2.48005066706505147e+02 -9.80562218494053610e+01 -2.40324037304373642e-02 -9.50192971079502277e-03 5.27707859442456098e+01 -2.59739944937530893e+01
86 -2.48007047742446190e+02 -9.10562221297270327e+01 -2.40328713257859095e-02 -8.82371081699456078e-03 5.28128374662048188e+01 -2.59829314367286344e+01
87 -2.48009028778387233e+02 -8.40562224100487185e+01 -2.40333185224232242e-02 -8.14546944892675755e-03 5.28548969739480228e+01 -2.59918577627481966e+01
88 -2.48011009814328247e+02 -7.70562226903703902e+01 -2.40337453159611275e-02 -7.46720733300024371e-03 5.28969643185894327e+01 -2.60007734331311617e+01
89 -2.55005066426183475e+02 -9.80582028853463896e+01 -2.47099694601118948e-02 -9.50183160110569004e-03 5.27807629443622375e+01 -2.59362489870060600e+01
90 -2.55007047462124518e+02 -9.10582031656680613e+01 -2.47104447773051940e-02 -8.82363339852431858e-03 5.28227999365417205e+01 -2.59451819656451299e+01
91 -2.55009028498065533e+02 -8.40582034459897471e+01 -2.47108991237499492e-02 -8.14541272562535959e-03 5.28648448896595866e+01 -2.59541043798969611e+01
92 -2.55011009534006575e+02 -7.70582037263114188e+01 -2.47113324949494936e-02 -7.46717130850189665e-03 5.29068976549536529e+01 -2.59630161911272452e+01
93 -2.62005066145861804e+02 -9.80601839212874182e+01 -2.53874723528577026e-02 -9.50172546217822704e-03 5.27907327932751471e+01 -2.58985076669862977e+01
94 -2.62007047181802818e+02 -9.10601842016091041e+01 -2.53879553874228163e-02 -8.82354852263500349e-03 5.28327552280751362e+01 -2.59074366761785697e+01
95 -2.62009028217743889e+02 -8.40601844819307757e+01 -2.53884168795209184e-02 -8.14534911683689744e-03 5.28747855989936966e+01 -2.59163551735459237e+01
96 -2.62011009253684904e+02 -7.70601847622524474e+01 -2.53888568245469425e-02 -7.46712897055277353e-03 5.29168237573927485e+01 -2.59252631205004640e+01
97 -1.98694692906667086e+02 -1.82592477791507463e+02 -1.92538033472252311e-02 -1.76934753950960290e-02 5.21918879615067937e+01 -2.61307306506443879e+01
98 -1.98696694956371459e+02 -1.75592478077807669e+02 -1.92544157526393644e-02 -1.70155350429391158e-02 5.22339306841348758e+01 -2.61398248219827991e+01
99 -1.98698697006075832e+02 -1.68592478364107905e+02 -1.92550118587842059e-02 -1.63375513735928152e-02 5.22759833634049400e+01 -2.61489084884635474e+01
100 -1.98700699055780206e+02 -1.61592478650408111e+02 -1.92555916590329800e-02 -1.56595261055914627e-02 5.23180458517079501e+01 -2.61579816093876332e+01
101 -2.05694692620366851e+02 -1.82594479841211836e+02 -1.99316242248982235e-02 -1.76932351115773635e-02 5.22020857834635166e+01 -2.60930109265028705e+01
102 -2.05696694670071224e+02 -1.75594480127512043e+02 -1.99322513019939453e-02 -1.70153113581061298e-02 5.22441144843747125e+01 -2.61021005390023788e+01
103 -2.05698696719775597e+02 -1.68594480413812278e+02 -1.99328615077883839e-02 -1.63373442936499691e-02 5.22861531155045256e+01 -2.61111796986157465e+01
104 -2.05700698769479970e+02 -1.61594480700112484e+02 -1.99334548354406053e-02 -1.56593356364917446e-02 5.23282015293568179e+01 -2.61202483647002275e+01
105 -2.12694692334066644e+02 -1.82596481890916209e+02 -2.06093943741981894e-02 -1.76929798545249796e-02 5.22122769230217685e+01 -2.60552945287874351e+01
106 -2.12696694383771018e+02 -1.75596482177216416e+02 -2.06100361162116531e-02 -1.70150732715302760e-02 5.22542915737937932e+01 -2.60643795771634004e+01
107 -2.12698696433475391e+02 -1.68596482463516651e+02 -2.06106604151482138e-02 -1.63371233839736014e-02 5.22963161283788196e+01 -2.60734542246224628e+01
108 -2.12700698483179764e+02 -1.61596482749816857e+02 -2.06112672639529905e-02 -1.56591319098777389e-02 5.23383504393941479e+01 -2.60825184305782365e+01
109 -2.19694692047766409e+02 -1.82598483940620582e+02 -2.12871120823827781e-02 -1.76927096302902272e-02 5.22224613610144459e+01 -2.60175815887075252e+01
110 -2.19696694097470782e+02 -1.75598484226920789e+02 -2.12877684823291058e-02 -1.70148207893021895e-02 5.22644619333025346e+01 -2.60266620677121558e+01
111 -2.19698696147175156e+02 -1.68598484513221024e+02 -2.12884068676878896e-02 -1.63368886503934482e-02 5.23064723830159437e+01 -2.60357321977660447e+01
112 -2.19700698196879529e+02 -1.61598484799521231e+02 -2.12890272311904993e-02 -1.56589149313181124e-02 5.23484925628859727e+01 -2.60447919383392978e+01
113 -1.98691664476176925e+02 -1.40304322421497943e+02 -1.92557900401879416e-02 -1.35973020378171300e-02 5.24460016986643467e+01 -2.61855907972985769e+01
114 -1.98691062529571951e+02 -1.33304322447379349e+02 -1.92560516667484097e-02 -1.29191262443703655e-02 5.24880985890760456e+01 -2.61946349424733533e+01
115 -1.98690460582966949e+02 -1.26304322473260754e+02 -1.92562969510887867e-02 -1.22409175187129533e-02 5.25302045520711474e+01 -2.62036683419880134e+01
116 -1.98689858636361976e+02 -1.19304322499142160e+02 -1.92565258887188936e-02 -1.15626775850972262e-02 5.25723194389305561e+01 -2.62126909559114267e+01
117 -2.05691664450295519e+02 -1.40303720474892970e+02 -1.99336910965422255e-02 -1.35969098753535075e-02 5.24561300816240745e+01 -2.61478476802189022e+01
